BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
BULK021,Construction Stage Cantilever VIV Bridge,Cable-Stayed,China,Construction stage cantilever VIV analysis 2022,,1088,30.4,3.4,8.94,,Steel Box,0.19,,,,,5.8,8.9,103.7,,0.005,,,High,Sutong Bridge - construction cantilever stage
BULK022,Temperature Effect VIV Study Bridge,Suspension,China,Temperature effect on VIV characteristics 2023,,1385,32.0,2.6,12.31,,Steel Box,0.395,,,,,7.1,10.1,58.9,,0.022,,,High,Jiangyin Bridge - temperature influence study
BULK023,Reynolds Number Effect VIV Bridge Model,Suspension,Japan,Reynolds number effect VIV wind tunnel 2020,,1991,35.5,3.5,10.14,,Steel Box,0.084,,,,,7.2,10.5,62.5,,0.018,,,High,Akashi Kaikyo - Reynolds number effect
BULK024,Attack Angle Effect VIV Bridge +3deg,Cable-Stayed,China,Attack angle effect VIV sensitivity 2021,,808,33.5,3.2,10.47,,Steel Box,0.165,,,,,6.9,9.8,91.8,,0.013,,,High,攻角+3度 - attack angle +3deg effect
BULK025,Attack Angle Effect VIV Bridge 0deg,Cable-Stayed,China,Attack angle 0deg baseline VIV,,808,33.5,3.2,10.47,,Steel Box,0.165,,,,,9.1,12.9,55.8,,0.013,,,High,攻角0度基准 - 0deg baseline
BULK026,Turbulence Intensity Effect VIV Bridge Low,Suspension,Denmark,Turbulence intensity VIV effect study 2022,,1624,31.0,3.0,10.33,,Steel Box,0.075,,,,,8.2,11.8,73.2,,0.016,,,High,Great Belt - low turbulence 2%
BULK027,Turbulence Intensity Effect VIV Bridge High,Suspension,Denmark,High turbulence suppression effect VIV,,1624,31.0,3.0,10.33,,Steel Box,0.075,,,,,10.5,15.3,42.8,,0.016,,,Medium,Great Belt - high turbulence 12% suppression
BULK028,Wind Profile Effect Uniform Flow VIV Bridge,Suspension,China,Wind profile effect uniform flow VIV 2023,,1490,36.0,3.3,10.91,,Steel Box,0.137,,,,,8.1,11.9,84.6,,0.013,,,High,Runyang Bridge - uniform flow baseline
BULK029,Wind Profile Effect Shear Flow VIV Bridge,Suspension,China,Wind shear profile VIV reduction,,1490,36.0,3.3,10.91,,Steel Box,0.137,,,,,9.6,14.2,61.3,,0.013,,,High,Runyang Bridge - shear flow effect
BULK030,Multi-Mode VIV First Vertical Mode Dominant,Cable-Stayed,China,Multi-mode VIV first mode dominant 2024,,920,35.2,3.5,10.06,,Steel Box,0.158,0.142,0.385,,,8.3,11.7,76.5,51.2,0.014,,,High,多模态一阶主导 - first mode dominant
BULK031,Multi-Mode VIV Second Vertical Mode Dominant,Cable-Stayed,China,Multi-mode VIV second mode dominant,,920,35.2,3.5,10.06,,Steel Box,0.158,0.142,0.385,,,11.8,16.5,45.8,29.7,0.014,,,Medium,多模态二阶主导 - second mode dominant
BULK032,VIV-Flutter Coupling Interaction Bridge,Suspension,China,VIV-flutter coupling interaction analysis 2023,,2038,41.0,4.0,10.25,,Steel Box,0.088,,,,,7.2,10.5,118.6,,0.009,,,High,涡振-颤振耦合 - VIV-flutter coupling
BULK033,Yaw Angle Effect VIV Bridge 0deg,Cable-Stayed,China,Yaw angle effect VIV 0deg baseline,,1088,30.4,3.4,8.94,,Steel Box,0.19,,,,,6.9,12.3,67.3,,0.005,,,High,Sutong - yaw 0deg perpendicular wind
BULK034,Yaw Angle Effect VIV Bridge 15deg,Cable-Stayed,China,Yaw angle 15deg VIV suppression,,1088,30.4,3.4,8.94,,Steel Box,0.19,,,,,9.8,16.2,38.5,,0.005,,,Medium,Sutong - yaw 15deg oblique wind suppression
